id,name,type,dateAdded
3800388,rta-public-transport-dissolved-stops,GEOJSON,2025-09-25T08:49:03.795Z
3813154,yarmouk_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:38:20.114Z
3813155,zahia_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:38:30.461Z
3813156,industrial_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:38:43.072Z
3813157,jubail_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:39:14.280Z
3813158,majaz_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:39:29.055Z
3813159,mughaider_suburb_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:40:01.340Z
3813161,mussalla_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:40:33.245Z
3813162,muwaileh_suburb_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:41:05.280Z
3813163,noaf_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:41:37.125Z
3813164,qasmiyah_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:42:11.448Z
3813165,abushagarah_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:42:31.999Z
3813166,halwan_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:42:46.434Z
3813170,ghuwair_ndvi_march2024_colored_COG,IMAGERY,2025-09-26T18:48:47.102Z
3818614,zahia_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:38:13.702Z
3818616,abushagarah_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:38:41.811Z
3818617,ghuwair_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:39:08.150Z
3818618,halwan_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:39:48.726Z
3818619,industrial_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:39:58.695Z
3818620,jubail_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:40:07.510Z
3818622,majaz_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:40:20.998Z
3818623,mughaider_suburb_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:40:31.651Z
3818624,mussalla_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:40:40.102Z
3818625,muwaileh_suburb_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:40:52.726Z
3818627,qasmiyah_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:43:48.569Z
3818628,yarmouk_ndvi_march2022_colored_COG,IMAGERY,2025-09-28T10:44:01.960Z
3826354,abushagarah_ndvi_march2018_colored_COG,IMAGERY,2025-09-29T09:19:20.488Z
3826356,ghuwair_ndvi_march2018_colored_COG,IMAGERY,2025-09-29T09:19:46.775Z
